quartil,e,prod,rw,U
19801,929.6105138937,405.3664664274,386.1361090626,7.53
19802,929.8039845506,404.6398339659,388.1357591117,7.7
19803,930.3183875672,403.8148830437,390.540112912,7.47
19804,931.4276874208,404.215773188,393.9638172461,7.27
19811,932.6620055943,405.0467135853,396.7646909175,7.37
19812,933.5509397266,404.4167386738,400.0217016163,7.13
19813,933.5315261918,402.8191273704,400.7514986888,7.4
19814,933.0768794398,401.9773346631,405.7334736588,8.33
19821,932.1237532092,402.0897249464,409.0503862837,8.83
19822,930.6359391403,401.3066883732,411.3983777474,10.43
19823,929.0970599334,401.6301712635,413.0194215116,12.2
19824,928.5633356012,401.5637546318,415.1669628842,12.77
19831,929.0693800602,402.815698907,414.6620706787,12.43
19832,930.2655160982,403.1421076247,415.7319361384,12.23
19833,931.6770315592,403.0786191663,416.2314688662,11.7
19834,932.1389675751,403.7187857338,418.1439269073,11.2
19841,932.2766864716,404.8667990276,419.7352312297,11.27
19842,932.8327831181,405.6361867354,420.4841861985,11.47
19843,933.733419116,405.1362853788,420.9308814023,11.3
19844,934.1772061766,406.024639923,422.1124045253,11.17
19851,934.5928398279,406.4122697292,423.6278058111,11
19852,935.60670983,406.3009326446,423.9886867513,10.63
19853,936.5110859683,406.3353517234,424.1902126579,10.27
19854,937.4200901127,406.7736953295,426.1270433538,10.2
19861,938.4159216279,405.1525476492,426.8577942167,9.67
19862,938.9991700214,404.9298308096,426.745717993,9.6
19863,939.2353547892,404.5765463509,426.8857936568,9.6
19864,939.6795042344,404.199492631,428.8402532641,9.5
19871,940.24967414,405.949856196,430.122322107,9.5
19872,941.4358186852,405.8220920252,430.230679154,9.03
19873,942.2980959764,406.4462825371,430.3929948937,8.7
19874,943.5322232564,407.0512475259,432.0284200838,8.13
19881,944.3489698151,407.946023991,433.3886259345,7.87
19882,944.821488789,408.1795846631,433.9640918178,7.67
19883,945.0671369273,408.5998127404,434.4843843546,7.8
19884,945.8067261617,409.090560656,436.1568792772,7.73
19891,946.8696615046,408.7042151411,438.2651439443,7.57
19892,946.8766121435,408.9802752132,438.7635873439,7.57
19893,947.2496922565,408.3286900372,439.9498115585,7.33
19894,947.651276094,407.8856965633,441.8358563921,7.57
19901,948.1839707416,407.2605322333,443.1768726569,7.63
19902,948.3492392644,406.7751507655,444.3591990332,7.6
19903,948.0321706614,406.1794135903,444.5236148072,8.17
19904,947.1064831159,405.4397933482,446.9694046426,9.2
19911,946.0795542311,403.2799707905,450.1585869732,10.17
19912,946.1838116787,403.3648559958,451.5464272904,10.33
19913,946.2257951659,403.38068043,452.2983515,10.4
19914,945.9977839388,404.0031828125,453.1200665788,10.37
19921,945.5182790802,404.4773984171,453.9991459963,10.6
19922,945.3513975704,404.7867827629,454.9551762225,11
19923,945.2917855176,405.2710039218,455.4823811551,11.4
19924,945.4007859009,405.3829931405,456.1009290202,11.73
19931,945.905809841,405.1564160066,457.2026967395,11.07
19932,945.9034704134,406.4700430948,457.3885895948,11.67
19933,946.319028746,406.2293089678,457.7798989192,11.47
19934,946.5796212758,406.7264838509,457.5535380858,11.3
19941,946.7800322239,408.5785048843,458.8024027153,10.97
19942,947.6282842406,409.676710107,459.0564033599,10.63
19943,948.6220575536,410.3857632959,459.1578232469,10.1
19944,949.3991832414,410.5395236772,459.7037202758,9.67
19951,949.9481379664,410.4452583031,459.7037202758,9.53
19952,949.7944941424,410.6256052708,460.0258141627,9.47
19953,949.9533801752,410.867239714,461.0257225037,9.5
19954,950.250239445,411.2359178292,461.3039144367,9.27
19961,950.5380308831,410.6636552857,461.4030814421,9.5
19962,950.7871284982,410.8085084126,462.9277261332,9.43
19963,950.8695286485,412.1159615201,464.6887779341,9.7
19964,950.9281324697,412.9994071295,465.0717000944,9.9
19971,951.8457224814,412.9550567553,464.2851252955,9.43
19972,952.6004761952,412.8241330937,464.0344260995,9.3
19973,953.5975527554,413.048874899,463.4534794618,8.87
19974,954.1433883442,413.6110178761,465.0717000944,8.77
19981,954.5425933321,413.6047819168,466.0888674745,8.6
19982,955.263136106,412.9683882252,466.6171207546,8.33
19983,956.0560528525,412.265886525,465.7477965612,8.17
19984,956.7965864001,412.9105940979,465.8995272683,8.03
19991,957.3864804519,413.8294164197,466.4099253517,7.9
19992,958.0634157073,414.2241521031,466.9552444918,7.87
19993,958.7165921875,415.1677707968,467.6280813447,7.53
19994,959.4881424223,415.7015802259,467.7025623089,6.93
20001,960.3624930809,416.8674071084,469.1347882229,6.8
20002,960.7833790429,417.6103990604,469.3364196723,6.7
20003,961.0290299396,418.0029804764,470.0116663297,6.93
20004,961.7657098114,417.2666801785,469.6472344395,6.87
